Plant_ID,Soil_Type,Sunlight_Hours,Water_Frequency,Fertilizer_Type,Temperature,Humidity,Growth_Milestone
1,loam,7,daily,organic,25,60,germination
2,loam,8,daily,chemical,28,65,vegetative
3,loam,6,daily,chemical,26,70,flowering
4,loam,7,daily,organic,24,55,germination
5,loam,8,daily,chemical,27,68,fruiting
6,loam,7,daily,chemical,25,62,vegetative
7,loam,6,daily,organic,23,58,germination
8,loam,8,daily,chemical,29,72,fruiting
9,loam,7,daily,chemical,26,65,flowering
10,loam,6,daily,organic,22,52,germination
11,sandy,6,weekly,chemical,30,50,germination
12,sandy,7,weekly,organic,32,48,vegetative
13,sandy,5,weekly,none,28,45,germination
14,sandy,8,weekly,chemical,31,52,flowering
15,sandy,6,weekly,none,29,47,germination
16,sandy,7,weekly,organic,33,50,vegetative
17,sandy,5,weekly,none,27,43,germination
18,sandy,8,weekly,chemical,30,55,fruiting
19,sandy,6,weekly,organic,28,48,vegetative
20,sandy,7,weekly,none,26,44,germination
21,clay,5,bi-weekly,organic,20,75,germination
22,clay,6,bi-weekly,none,22,78,vegetative
23,clay,4,bi-weekly,organic,18,72,germination
24,clay,7,bi-weekly,chemical,24,80,flowering
25,clay,5,bi-weekly,none,19,76,germination
26,clay,6,bi-weekly,organic,21,79,vegetative
27,clay,4,bi-weekly,none,17,71,germination
28,clay,7,bi-weekly,chemical,23,82,fruiting
29,clay,5,bi-weekly,organic,20,77,germination
30,clay,6,bi-weekly,none,18,73,germination
31,loam,8,daily,chemical,26
